year_month,Uf,Product,unit,volume,created_at
2013-01-01 00:00:00.000000,RONDÔNIA,ÓLEO DIESEL S-10 (m3),m3,81453.67,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ACRE,ÓLEO DIESEL S-10 (m3),m3,1483.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,AMAZONAS,ÓLEO DIESEL S-10 (m3),m3,6836.3,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RORAIMA,ÓLEO DIESEL S-10 (m3),m3,1475.3,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARÁ,ÓLEO DIESEL S-10 (m3),m3,40913.48,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,AMAPÁ,ÓLEO DIESEL S-10 (m3),m3,683.948,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,TOCANTINS,ÓLEO DIESEL S-10 (m3),m3,11771.7,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MARANHÃO,ÓLEO DIESEL S-10 (m3),m3,12974.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PIAUÍ,ÓLEO DIESEL S-10 (m3),m3,6373.25,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,CEARÁ,ÓLEO DIESEL S-10 (m3),m3,47724.922,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO GRANDE DO NORTE,ÓLEO DIESEL S-10 (m3),m3,3025.55,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARAÍBA,ÓLEO DIESEL S-10 (m3),m3,2964.5,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PERNAMBUCO,ÓLEO DIESEL S-10 (m3),m3,94832.55,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ALAGOAS,ÓLEO DIESEL S-10 (m3),m3,58801.636999999995,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SERGIPE,ÓLEO DIESEL S-10 (m3),m3,9882.4,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,BAHIA,ÓLEO DIESEL S-10 (m3),m3,55057.999,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MINAS GERAIS,ÓLEO DIESEL S-10 (m3),m3,102297.806,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ESPÍRITO SANTO,ÓLEO DIESEL S-10 (m3),m3,13020.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO DE JANEIRO,ÓLEO DIESEL S-10 (m3),m3,92614.39,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SÃO PAULO,ÓLEO DIESEL S-10 (m3),m3,235476.41,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARANÁ,ÓLEO DIESEL S-10 (m3),m3,54564.884,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SANTA CATARINA,ÓLEO DIESEL S-10 (m3),m3,31415.778,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO GRANDE DO SUL,ÓLEO DIESEL S-10 (m3),m3,36805.532,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MATO GROSSO DO SUL,ÓLEO DIESEL S-10 (m3),m3,10515.1,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MATO GROSSO,ÓLEO DIESEL S-10 (m3),m3,15429.153,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,GOIÁS,ÓLEO DIESEL S-10 (m3),m3,14061.55,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,DISTRITO FEDERAL,ÓLEO DIESEL S-10 (m3),m3,66012.73,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RONDÔNIA,ÓLEO DIESEL S-500 (m3),m3,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ACRE,ÓLEO DIESEL S-500 (m3),m3,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,AMAZONAS,ÓLEO DIESEL S-500 (m3),m3,541.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RORAIMA,ÓLEO DIESEL S-500 (m3),m3,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARÁ,ÓLEO DIESEL S-500 (m3),m3,2056.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,AMAPÁ,ÓLEO DIESEL S-500 (m3),m3,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,TOCANTINS,ÓLEO DIESEL S-500 (m3),m3,2330.5,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MARANHÃO,ÓLEO DIESEL S-500 (m3),m3,69684.071,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PIAUÍ,ÓLEO DIESEL S-500 (m3),m3,39924.95,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,CEARÁ,ÓLEO DIESEL S-500 (m3),m3,2053.5,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO GRANDE DO NORTE,ÓLEO DIESEL S-500 (m3),m3,1022.55,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARAÍBA,ÓLEO DIESEL S-500 (m3),m3,38591.16,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PERNAMBUCO,ÓLEO DIESEL S-500 (m3),m3,749045.37,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ALAGOAS,ÓLEO DIESEL S-500 (m3),m3,32434.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SERGIPE,ÓLEO DIESEL S-500 (m3),m3,23705.3,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,BAHIA,ÓLEO DIESEL S-500 (m3),m3,240737.51,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MINAS GERAIS,ÓLEO DIESEL S-500 (m3),m3,220656.52,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ESPÍRITO SANTO,ÓLEO DIESEL S-500 (m3),m3,88926.941,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO DE JANEIRO,ÓLEO DIESEL S-500 (m3),m3,82454.598,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SÃO PAULO,ÓLEO DIESEL S-500 (m3),m3,628861.003,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,PARANÁ,ÓLEO DIESEL S-500 (m3),m3,341786.96,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,SANTA CATARINA,ÓLEO DIESEL S-500 (m3),m3,108014.698,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RIO GRANDE DO SUL,ÓLEO DIESEL S-500 (m3),m3,92444.418,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MATO GROSSO DO SUL,ÓLEO DIESEL S-500 (m3),m3,5890.73,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,MATO GROSSO,ÓLEO DIESEL S-500 (m3),m3,981.225,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,GOIÁS,ÓLEO DIESEL S-500 (m3),m3,28780.9,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,DISTRITO FEDERAL,ÓLEO DIESEL S-500 (m3),m3,0.0,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,RONDÔNIA,ÓLEO DIESEL S-1800 (m3),m3,57128.718,2021-09-06 11:51:29.993326
2013-01-01 00:00:00.000000,ACRE,ÓLEO DIESEL S-1800 (m3),m3,14139.166,2021-09-06 11:51:29.993326
